rate_name,class,quality,bathroom,bedding,capacity,club,bedrooms,balcony,view,floor
Superior Triple Room (3 Twin Beds),room,superior,private bathroom,,triple,not club,,no balcony,,
Single Mansard One single bed Mansard room,room,standard,private bathroom,single bed,single,not club,,no balcony,,attic floor
Suite double or twin room double,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Vineyard Suite 1 King Patio, 500 Sf, 46 Sm, Jacuzzi Tub, Fireplace, Sofabed, Garden Views Vineyard Suite 1 King Patio, 500 Sf, 46 Sm, Jack...",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
JUMEIRAH SEA VIEW SUITE WITH BEACH VW KING BED FLOORS 1 4 TWO PRIVATED FURNISHED Room Only,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Two Bedroom Apartment TWO BEDROOM APARTMENT - CITY VIEW City,apartment,,private bathroom,,,not club,2 bedrooms,no balcony,city view,
Superior Double or Twin SUPERIOR,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Le Royal Club Room Twin,room,royal,private bathroom,twin/twin-or-double,double,club,,no balcony,,
Junior JUNIOR.,room,standard,private bathroom,,,not club,,no balcony,,
Twin/Double room - De Luxe Half Board,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard Room Room Only,room,standard,private bathroom,,,not club,,no balcony,,
Deluxe Double or Twin Room (1 King Bed),room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Suite, Terrace (Golden Horn View -  Lounge)",suite,,private bathroom,,,not club,,no balcony,,
Executive Club Room Marina View Double Breakfast,room,executive,private bathroom,double/double-or-twin,double,club,,no balcony,harbour view,
Ocean Deluxe Balcony (Double) Breakfast,room,deluxe,private bathroom,double/double-or-twin,double,not club,,balcony,,
One Bedroom Gulf Suite,suite,,private bathroom,,,not club,1 bedroom,no balcony,,
Junior suite Room with Balcony double,junior-suite,,private bathroom,double/double-or-twin,double,not club,,balcony,,
Family Family Connecting Room,room,standard,private bathroom,,,not club,,no balcony,,
Superior Queen Room,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Apartments dbl Double bed,apartment,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Single Fairmont Heritage Room,room,standard,private bathroom,,single,not club,,no balcony,,
Standard Double Room Compact Side Sea View Side Seaview,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,partial-sea view,
Triple Triple Standard Room,room,standard,private bathroom,,triple,not club,,no balcony,,
Standard economy room with 2 twin beds twin (Annex Building),room,economy,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Studio deluxe,studio,deluxe,private bathroom,,,not club,,no balcony,,
Duplex suite PANWA DUPLEX LAGOON SUITE,suite,,private bathroom,,,not club,,no balcony,,duplex floor
Comfort family room twin,room,comfort,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Room CLUB SEA VIEW Breakfast,room,standard,private bathroom,,,not club,,no balcony,sea view,
dormBed in a dormitory room with 4 bunk beds (facilities out of the room)   in block,dorm,,shared bathroom,,,not club,,no balcony,,
TWIN STANDARD,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
JUMEIRAH SEA VIEW SUIT WITH BEACH VW KING BED FLOORS 1 4 TWO PRIVATED FURNISHED Room Only,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
"2 Single Beds, Non-Smoking, Superior Room, Safe, Work Desk, Air-Conditioned",room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Deluxe Double or Twin Room (1 King Bed),room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Executive One Bedroom,room,executive,private bathroom,,,not club,1 bedroom,no balcony,,
KING EXECUTIVE STUDIO Room Only,studio,executive,private bathroom,,,not club,,no balcony,,
Triple room - Superior Triple room - Superior,room,superior,private bathroom,,triple,not club,,no balcony,,
Double room Breakfast,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard economy room with 1 double bed double,room,economy,private bathroom,double/double-or-twin,double,not club,,no balcony,,
One Bedroom Apartment (1 Double or 1 Twin),apartment,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
"Royal Suite 2 Bedrooms, Balcony, Pool View. Includes Theme Park Access, Shuttle to MOE & Dubai Mall (2 Double Beds)",suite,royal,private bathroom,twin/twin-or-double,quadruple,not club,2 bedrooms,balcony,pool view,
Superior Triple Room (3 Twin Beds),room,superior,private bathroom,,triple,not club,,no balcony,,
Studio deluxe Room with 1 double bed (attic) double,studio,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,attic floor
Junior suite room with 2 twin beds,junior-suite,,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Premium Quad,room,premium,private bathroom,,quadruple,not club,,no balcony,,
Two Bedroom Vineyard Suite,suite,,private bathroom,,,not club,2 bedrooms,no balcony,,
Deluxe Lagoon View Room Room Only,room,deluxe,private bathroom,,,not club,,no balcony,bay view,
Economy family room double  in block,room,economy,shared bathroom,double/double-or-twin,double,not club,,no balcony,,
Suite FARMSTAY SUITE,suite,,private bathroom,,,not club,,no balcony,,
Club Club City View City,room,standard,private bathroom,,,not club,,no balcony,city view,
"Guest room, 2 Twin",room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Superior Room With Queen Bed And Double Sofa Bed,room,superior,private bathroom,,double,not club,,no balcony,,
"Executive Suite Executive Suite, 2 Twin Beds and 1 Double Bed",suite,executive,private bathroom,,double,not club,,no balcony,,
Deluxe King Studio - Black and White Basic rate without breakfast,studio,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Triple Room,room,standard,private bathroom,,triple,not club,,no balcony,,
Studio comfort room double,studio,comfort,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard dormBed in a dormitory room with 4 bunk beds (Mixed),dorm,standard,shared bathroom,,,not club,,no balcony,,
Garden Garden Deluxe Room,room,deluxe,private bathroom,,,not club,,no balcony,,
"One Bedroom Patio Apartment One Bedroom Apartment With Kitchen/ Patio, 1 King Bed",apartment,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Double Connecting Garden View (2+2) (1 Double Bed and 2 Twin Beds),room,standard,private bathroom,,double,not club,,no balcony,garden view,
Premium 1 Double Premium,room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Economy superior roamings,room,economy,private bathroom,,,not club,,no balcony,,
Suite premium room with 1 double bed (attic) double,suite,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,attic floor
Vilòn Charming Garden,room,standard,private bathroom,,,not club,,no balcony,,
Newbury Accessible Two Queens,room,standard,private bathroom,,double,not club,,no balcony,,
X Large,room,standard,private bathroom,,,not club,,no balcony,,
Silver Sky Room,room,standard,private bathroom,,,not club,,no balcony,,
Tourist Double bed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Junior suite room with 2 twin beds,junior-suite,,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
sea front villa with pool Basic rate with dinner Sunset Pool View Single (1 Single Bed) Half Board (1 Ticket),villa,,private bathroom,single bed,single,not club,,no balcony,sea front,
Two Bedroom Standard Ocean 2 Bedroom,room,standard,private bathroom,,,not club,2 bedrooms,no balcony,,
Guest Room -Twin Bed Room Only,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Royal Club Room Marina View Double Breakfast,room,royal,private bathroom,double/double-or-twin,double,club,,no balcony,harbour view,
Superior Triple Room (3 Twin Beds),room,superior,private bathroom,,triple,not club,,no balcony,,
Standard family room double,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Family Interconnecting Room Family InterConnecting Room Room Only (1 Double 1 Twin),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Grand Premier Suite,suite,premier,private bathroom,,,not club,,no balcony,,
Double room King bed - Smoking Double room King bed - Smoking,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Room (1 Double Bed),room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Two Bedroom Premier Apartmen,room,premier,private bathroom,,,not club,2 bedrooms,no balcony,,
Superior Twin Superior,room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Queen Room With Sea View (2 Twin Beds),room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,sea view,
Panorama Sea View Room,room,standard,private bathroom,,,not club,,no balcony,sea view,
Tourist Double bed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Suite Suite, 1 Queen Bed",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
THREE BEDROOM RESIDENCE Half Board,room,standard,private bathroom,,,not club,3 bedrooms,no balcony,,
Two Bedroom Standard Ocean 2 Bedroom,room,standard,private bathroom,,,not club,2 bedrooms,no balcony,,
Standard economy room with 1 double bed double,room,economy,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Family Interconnecting Room Family InterConnecting Room Room Only (1 Double 1 Twin),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Executive Studio, 1 King Bed, Non Smoking",studio,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Ocean Deluxe Balcony (Double) Breakfast,room,deluxe,private bathroom,double/double-or-twin,double,not club,,balcony,,
Premier Quadruple Room (2 Double Beds),room,premier,private bathroom,,quadruple,not club,,no balcony,,
Tapa Collection Resort View King Room Acc Roll in show TAPA COLLECTION RESORT VW 1KG MOB ACC RI SHWR (1 Single),room,standard,private bathroom,double/double-or-twin,single,not club,,no balcony,with view,
Triple standard,room,standard,private bathroom,,triple,not club,,no balcony,,
Grand Deluxe GRAND DELUXE SUIT,suite,deluxe,private bathroom,,,not club,,no balcony,,
Luxury One Bedroom Suite,suite,luxury,private bathroom,,,not club,1 bedroom,no balcony,,
dormBed in a dormitory room with 4 bunk beds (facilities out of the room)   in block,dorm,,shared bathroom,,,not club,,no balcony,,
Canal Suite,suite,,private bathroom,,,not club,,no balcony,,
"Deluxe Room, Lanai, Seaview",room,deluxe,private bathroom,,,not club,,no balcony,sea view,
Suite premium room with 1 double bed (attic) double,suite,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,attic floor
"Executive Room, 2 Twin Beds (2 Twin Beds)",room,executive,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Deluxe Double or Twin Room, 1 Bedroom (1 Double Bed)",room,deluxe,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
DELUXE SUITE SEA VIEW,suite,deluxe,private bathroom,,,not club,,no balcony,sea view,
Tropical Tropical Deluxe Garden King Bed,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
Standard Standard Twinroom twin,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Superior Twin Superior,room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Quad Room Breakfast,room,standard,private bathroom,,quadruple,not club,,no balcony,,
High Floor Spacious Room with King Bed High Floor Spacious Room with King Bed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard double room Compact double,room,economy,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Junior suite Room with Balcony double,junior-suite,,private bathroom,double/double-or-twin,double,not club,,balcony,,
"Premium Apartment, 1 Bedroom, Balcony, Sea View, High Floor (2 Adults) (2 Twin Beds and 1 Double Sofa Bed), Two Twilight Flights of Stairs per Day (2 Children and 1 Adult) Privilege Rooms, 1 king, Balcony, Private Pool (1 Double or 1 Twin)",apartment,premium,private bathroom,double/double-or-twin,double,not club,,balcony,sea view,
Ronda,room,standard,private bathroom,,,not club,,no balcony,,
Mobility Accessible Alii Resort View King Room with Tub ALII RESORT VW KNG BD MOBILITY ACCESS BATHTUB (1 Double or 1 Twin),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,with view,
Suite - Beach Front - Sea view Suite - Beach Front - Sea view sea,suite,,private bathroom,,,not club,,no balcony,beachfront,
Studio Studio grand,studio,grand,private bathroom,,,not club,,no balcony,,
Classic One-Bedroom with Soluna Beach Club access,room,classic,private bathroom,,,club,1 bedroom,no balcony,,
Two Bedroom Villa Two Bedrooms Sunset Villa,villa,,private bathroom,,,not club,2 bedrooms,no balcony,sunset view,
Single Mansard One single bed Mansard room,room,standard,private bathroom,single bed,single,not club,,no balcony,,attic floor
"Vineyard Suite 1 King Patio, 500 Sf, 46 Sm, Jacuzzi Tub, Fireplace, Sofabed, Garden Views Vineyard Suite 1 King Patio, 500 Sf, 46 Sm, Jacuzzi Tub, Fireplace, Sofabed, Garden Views,Room Only (1 Double)",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
Triple Triple Standard Room,room,standard,private bathroom,,triple,not club,,no balcony,,
"Comfort Room, 1 King Bed, Balcony, Pool View (with Sofabed) (1 King Bed)",room,comfort,private bathroom,double/double-or-twin,double,not club,,balcony,pool view,
Double Interconnecting Side Sea View (3+2) (1 Double Bed and 2 Twin Beds),room,standard,private bathroom,,double,not club,,no balcony,partial-sea view,
Standard Twin Room (2 Twin Beds),room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Taj Club Room Twin Bed,room,standard,private bathroom,twin/twin-or-double,double,club,,no balcony,,
Executive King Room With City View non-smoking,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
Classic One-Bedroom with Soluna Beach Club access,room,classic,private bathroom,,,club,1 bedroom,no balcony,,
Duplex Suite PANWA DUPLEX LAGOON SUITE,suite,,private bathroom,,,not club,,no balcony,,duplex floor
Suite FARMSTAY SUITE,suite,,private bathroom,,,not club,,no balcony,,
Premium Quad,room,premium,private bathroom,,quadruple,not club,,no balcony,,
Deluxe Deluxe Double Room,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Double room - Side Sea View Double room - Side Sea View sea,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,partial-sea view,
Grand Premier Suite,suite,premier,private bathroom,,,not club,,no balcony,,
"Comfort room with 1 double bed (without window, attic) double  in block",room,comfort,shared bathroom,double/double-or-twin,double,not club,,no balcony,,attic floor
Junior suite room with 2 twin beds,junior-suite,,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Single Economy Single Economy. Does not split,room,economy,private bathroom,,single,not club,,no balcony,,
Deluxe DELUXE POOL VIEW Pool,room,deluxe,private bathroom,,,not club,,no balcony,pool view,
Big,room,standard,private bathroom,,,not club,,no balcony,,
Family Interconnecting Room Family Interconnecting Room Room Only (1 Double 1 Twin),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
One Bedroom Gulf Suite,suite,,private bathroom,,,not club,1 bedroom,no balcony,,
Double Connecting Garden View (2+2) (1 Double Bed and 2 Twin Beds),room,standard,private bathroom,,double,not club,,no balcony,garden view,
Club Club Room,room,standard,private bathroom,,,club,,no balcony,,
Studio studio grand,studio,grand,private bathroom,,,not club,,no balcony,,
Standard Triple STD3 Standard rate without breakfast,room,standard,private bathroom,,triple,not club,,no balcony,,
"DELUXE Suite Deluxe Suite, 1 Duplex Appartement, 7 Tatin",apartment,deluxe,private bathroom,,,not club,,no balcony,,duplex floor
Standard economy room with 1 double bed double,room,economy,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Premium Room, Multiple Beds",room,premium,private bathroom,,,not club,,no balcony,,
"Vineyard Suite 1 King Patio, 500 Sf, 46 Sm, Jacuzzi Tub, Fireplace, Sofabed, Garden Views Vineyard Suite 1 King Patio, 500 Sf, 46 Sm, Jacuzzi Tub, Fireplace, Sofabed, Garden Views,Room Only (1 Double)",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
Deluxe Lagoon View Room Room Only,room,deluxe,private bathroom,,,not club,,no balcony,bay view,
3 Bedrooms Pool Villa Garden View(3 King Beds),villa,,private bathroom,,double,not club,3 bedrooms,no balcony,garden view,
One Bedroom Over Water Villa Non-smoking,villa,,private bathroom,,,not club,1 bedroom,no balcony,,
Family Room Three Bedroom Half Board,room,standard,private bathroom,,,not club,3 bedrooms,no balcony,,
Two Bedroom Apartment City View,apartment,,private bathroom,,,not club,2 bedrooms,no balcony,city view,
Double Connecting Garden View (2+2) (1 Double Bed and 2 Twin Beds),room,standard,private bathroom,,double,not club,,no balcony,garden view,
Tropical Tropical Deluxe Garden King Bed,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
Suite - Beach Front - Sea view Suite - Beach Front - Sea view sea,suite,,private bathroom,,,not club,,no balcony,beachfront,
Garden House,cottage,,private bathroom,,,not club,,no balcony,,
Guest Room with King Bed Room Only,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Superior Grey Room,room,superior,private bathroom,,,not club,,no balcony,,
Executive King,room,executive,private bathroom,,,not club,,no balcony,,
KING EXECUTIVE STUDIO Room Only,studio,executive,private bathroom,,,not club,,no balcony,,
Classic One-Bedroom with Soluna Beach Club access,room,classic,private bathroom,,,club,1 bedroom,no balcony,,
Grand Premier Suite,suite,premier,private bathroom,,,not club,,no balcony,,
Club Club City View City,room,standard,private bathroom,,,not club,,no balcony,city view,
Apartments dbl Double bed,apartment,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
standard room double Full Boat Show,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Single Mansard One single bed Mansard room,room,standard,private bathroom,,single,not club,,no balcony,,attic floor
Studio comfort room double,studio,comfort,private bathroom,double/double-or-twin,double,not club,,no balcony,,
DE Luxe SUITE Standard rate WITH breakfast,suite,luxury,private bathroom,,,not club,,no balcony,,
Family Room Three Bedroom Half Board,room,standard,private bathroom,,,not club,3 bedrooms,no balcony,,
"Deluxe Deluxe Double Room with Balcony and Hotel Private Beach Access, 2 Twin Beds",room,deluxe,private bathroom,twin/twin-or-double,double,not club,,balcony,,
Standard Standard Twin Room With French Window City View NRF City,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,city view,
Deluxe DELUXE ROOM.,room,deluxe,private bathroom,,,not club,,no balcony,,
Premium King Room with City View with 20% discount on FandB - Non-refundable Room Only,room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
Big,room,standard,private bathroom,,,not club,,no balcony,,
Single Fairmont Heritage Room,room,standard,private bathroom,,single,not club,,no balcony,,
"Studio, Terrace, Partial Sea View (Select - Split Level) (2 Twin Beds)",studio,,private bathroom,twin/twin-or-double,double,not club,,no balcony,partial-sea view,duplex floor
Corner Suite 1 King Bed Corner Suite,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Double room Breakfast,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Suite double or twin room double,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Triple Triple Standard Room,room,standard,private bathroom,,triple,not club,,no balcony,,
Panorama Sea View Room,room,standard,private bathroom,,,not club,,no balcony,sea view,
"Executive Room, 2 Twin Beds (2 Twin Beds)",room,executive,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Club Club Room,room,standard,private bathroom,,,club,,no balcony,,
Superior Superior Room with One King Bed,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Ronda,room,standard,private bathroom,,,not club,,no balcony,,
Apartment 2 Bedrooms - Burj Khalifa View Half Board,apartment,,private bathroom,,,not club,2 bedrooms,no balcony,burj-khalifa view,
Tropical Tropical Deluxe Garden King Bed,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
Two Bedroom Apartment TWO BEDROOM APARTMENT - CITY VIEW City,apartment,,private bathroom,,,not club,2 bedrooms,no balcony,city view,
One Bedroom Lagoon Pool Access Suites(1 King Bed),suite,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
"Vineyard Suite 1 King Patio, 500 Sf, 46 Sm, Jacuzzi Tub, Fireplace, Sofabed, Garden Views Vineyard Suite 1 King Patio, 500 Sf, 46 Sm, Jacuzzi Tub, Fireplace, Sofabed, Garden Views,Room Only (1 Double)",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
"Deluxe Room, Sea View (Connecting) (4 Twin Beds)",room,deluxe,private bathroom,,quadruple,not club,,no balcony,sea view,
"Standard 1 King Bed, Nonsmoking, Accessible",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Luxury LUXURY ROOM,room,luxury,private bathroom,,,not club,,no balcony,,
Premium Quad,room,premium,private bathroom,,quadruple,not club,,no balcony,,
Suite - Family - Balcony Suite - Family - Balcony,suite,,private bathroom,,,not club,,balcony,,
2-room standard family room double,room,standard,private bathroom,double/double-or-twin,double,not club,2 bedrooms,no balcony,,
Executive Room With 2 Twin Beds Room Only,room,executive,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
king deluxe sky view king deluxe sky view,room,deluxe,private bathroom,,,not club,,no balcony,with view,
Twin capacity 1,room,economy,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Junior suite room with 2 twin beds,junior-suite,,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Triple Triple Standard Room,room,standard,private bathroom,,triple,not club,,no balcony,,
Two Bedroom Premier Apartmen,room,premier,private bathroom,,,not club,2 bedrooms,no balcony,,
Double room - Executive - Acropolis View Breakfast,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
Club Club City View City,room,standard,private bathroom,,,not club,,no balcony,city view,
Superior Queen Room,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Duplex Suite PANWA DUPLE XL Suite Duplex,suite,,private bathroom,,,not club,,no balcony,,duplex floor
Spacious One Bedroom Apartment non-smoking,apartment,,private bathroom,,,not club,1 bedroom,no balcony,,
Family Interconnecting Room Family Interconnecting Room Room Only (1 Double 1 Twin),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
High Floor Spacious Room with King Bed High Floor Spacious Room with King Bed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Single Mansard One single bed Mansard room,room,standard,private bathroom,single bed,single,not club,,no balcony,,attic floor
"Vineyard Suite 1 King Patio, 500 Sf, 46 Sm, Jacuzzi Tub, Fireplace, Sofabed, Garden Views Vineyard Suite 1 King Patio, 500 Sf, 46 Sm, Jacuzzi Tub, Fireplace, Sofabed, Garden Views,Room Only (1 Double)",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
"Executive TWIN EXECUTIVE ROOM, COMP WIFI/BFST-SNACKS-DRINKS IN LOUNGE/SAFE, 45 SQM/BATH WITH WHAT ELSE? BATH/WALKING DISTANCE FURNISHED",room,executive,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
One Bedroom Suite Fountain View Double Breakfast,suite,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,water view,
Garden House,cottage,,private bathroom,,,not club,,no balcony,,
Taj Club Room Twin Bed,room,standard,private bathroom,twin/twin-or-double,double,club,,no balcony,,
Single room - De Luxe - Sea View Single room - De Luxe - Sea View sea,room,deluxe,private bathroom,,single,not club,,no balcony,sea view,
"Comfort room with 1 double bed (without window, attic) double  in block",room,comfort,shared bathroom,double/double-or-twin,double,not club,,no balcony,,attic floor
"Suite-1 King Bed, Smoking Room, Sofabed, Flat Screen Television, Sitting Area, Wi-Fi, Air-Conditioned",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Deluxe Lagoon View Room 1 KB or 2 DB Lagoon,room,deluxe,private bathroom,,,not club,,no balcony,bay view,
Two Bedroom Grand Suite with Sea or Marina View non-smoking,suite,grand,private bathroom,,,not club,2 bedrooms,no balcony,harbour view,
Double Connecting Garden View (2+2) (1 Double Bed and 2 Tables),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
THREE BEDROOM RESIDENCE Half Board,room,standard,private bathroom,,,not club,3 bedrooms,no balcony,,
Studio comfort room double,studio,comfort,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard Triple STD3 Standard rate without breakfast,room,standard,private bathroom,,triple,not club,,no balcony,,
"Royal Suite 2 Bedrooms, Balcony, Pool View. Includes Theme Park Access, Shuttle to MOE & Dubai Mall (2 Double Beds)",suite,royal,private bathroom,twin/twin-or-double,quadruple,not club,2 bedrooms,balcony,pool view,
Triple standard,room,standard,private bathroom,,triple,not club,,no balcony,,
Apartment with 1 bedroom and a separate kitchen twin,apartment,,private bathroom,twin/twin-or-double,double,not club,1 bedroom,no balcony,,
"Premium Apartment, 1 Bedroom, Balcony, Sea View, High Floor (2 Adults) (2 Twin Beds and 1 Double Sofa Bed)",apartment,premium,private bathroom,twin/twin-or-double,double,not club,1 bedroom,balcony,sea view,
Standard Room Multiple Beds,room,standard,private bathroom,,,not club,,no balcony,,
Studio comfort room double,studio,comfort,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Superior Superior Room with One Kings Bed,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Junior suite room with 2 twin beds,junior-suite,,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Family Room Single Stopover (1 Small Bed),room,standard,private bathroom,,single,not club,,no balcony,,
Standard Twin Room (2 Twin Beds),room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Deluxe Garden View Room,room,deluxe,private bathroom,,,not club,,no balcony,garden view,
Suite Basic Rate without breakfast,suite,,private bathroom,,,not club,,no balcony,,
Executive Executive Double,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Two Bedroom Apartment City View,apartment,,private bathroom,,,not club,2 bedrooms,no balcony,city view,
