rate_name,class,quality,bathroom,bedding,capacity,club,bedrooms,balcony,view,floor
Junior suite room with 2 twin beds,junior-suite,,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
le royal club room double Breakfast,room,royal,private bathroom,double/double-or-twin,double,club,,no balcony,,
"Family Room, Sea View (1 Double Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Superior Double Room non-smoking,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Newbury Accessible Two Queens,room,standard,private bathroom,,double,not club,,no balcony,,
Spacious One Bedroom Apartment non-smoking,apartment,,private bathroom,,,not club,1 bedroom,no balcony,,
Junior Suite Grande,junior-suite,grand,private bathroom,,,not club,,no balcony,,
King Diplomat Suite King Diplomat Suite,suite,,private bathroom,,,not club,,no balcony,,
Guest Room with King Bed Room only,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Twin room - Superior Breakfast,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Suite Suite, 1 King Bed",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Studio deluxe,studio,deluxe,private bathroom,,,not club,,no balcony,,
Executive One Bedroom,room,executive,private bathroom,,,not club,1 bedroom,no balcony,,
Junior suite Room with Balcony double,junior-suite,,private bathroom,double/double-or-twin,double,not club,,balcony,,
Deluxe Deluxe Double Room,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard Standard Twin Room with French Balcony City View NRF City,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,city view,
"Apartment, 1 bedroom, pet friendly (2 Twin Beds and 1 Double Sofa Bed)",apartment,,private bathroom,twin/twin-or-double,double,not club,1 bedroom,no balcony,,
Deluxe Family Sea View Room,room,deluxe,private bathroom,,,not club,,no balcony,sea view,
Premier Premier      Seaview Sea,room,premier,private bathroom,,,not club,,no balcony,sea view,
Duplex (Suite) (1 Queen Bed and 2 Twin Babies),suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,duplex floor
Club Club CityView City,room,standard,private bathroom,,,not club,,no balcony,city view,
One Bedroom Classic Suite suite classic one bedroom,suite,classic,private bathroom,,,not club,1 bedroom,no balcony,,
Family Interconnecting Room Family Interconnecting Room Room Only (1 Double 1 Twin),room,standard,private bathroom,multiple,,not club,,no balcony,,
Superior Room (1 Queen Bed and 1 Twin Sofa Bed),room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
KING EXECUTIVE STUDIO Room Only,studio,executive,private bathroom,,,not club,,no balcony,,
dormBed in a dormitory room with 4 bunk beds (facilities out of the room)   in block,dorm,,shared bathroom,,,not club,,no balcony,,
Villa Villa,villa,,private bathroom,,,not club,,no balcony,,
"Guest room, 2 Twin",room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
TWIN GUEST ROOM Room Only,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
PREMIUM QUAD ROOM (2 Double Beds),room,premium,private bathroom,twin/twin-or-double,quadruple,not club,,no balcony,,
"Hilton, Basic Twin Room (2 Twin Beds)",room,economy,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Deluxe Room Twin Partial Haram View (2 Twin Beds),room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Premium PREMIUM EXPLORER KING,room,premium,private bathroom,,,not club,,no balcony,,
Superior double Standard rate RO,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
One Bedroom Lagoon Pool Access Suites(1 King Bed),suite,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Double room Breakfast,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Tropical Tropical Deluxe Garden King Bed,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
Family Interconnecting Room Family Interconnecting Room Room Only (1 Double 1 Twin),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Classic One-Bedroom with Soluna Beach Club access,room,classic,private bathroom,,,club,1 bedroom,no balcony,,
Suite - Grand De Luxe Suite - Grand De Luxe,suite,deluxe,private bathroom,,,not club,,no balcony,,
Standard Triple STD3 Standard rate without breakfast,room,standard,private bathroom,,triple,not club,,no balcony,,
2 Single Premium Pool View Balcony(Non-Refundable) Non-Refreshing Pool,room,premium,private bathroom,twin/twin-or-double,double,not club,,balcony,pool view,
Two Bedroom Premier Apartmen,room,premier,private bathroom,,,not club,2 bedrooms,no balcony,,
Kremlin Suite double,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Triple standard,room,standard,private bathroom,,triple,not club,,no balcony,,
Deluxe Terrace Garden Access King,room,deluxe,private bathroom,,,not club,,no balcony,,
 comfort triple room min (Show 6 rooms),room,comfort,private bathroom,,double,not club,,no balcony,,
Vilòn Junior Suite,junior-suite,,private bathroom,,,not club,,no balcony,,
Executive Executive King Room With City View non-smoking,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
Duplex (Suite) (1 King Bed),suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Room, 1 King Bed, Non Smoking (Fairmont Creek)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Corner King Room With Nile View Smoking allowed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Premium PREMIUM EXPLORER KING,room,premium,private bathroom,,,not club,,no balcony,,
Suite Fountain View Double Breakfast,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,water view,
One Bedroom Apartment (1 Double or 1 Twin),apartment,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
"Superior Room, Connecting Rooms (Family) (1 Double Bed and 3 Twin Beds)",room,superior,private bathroom,,triple,not club,,no balcony,,
Deluxe Triple,room,deluxe,private bathroom,,triple,not club,,no balcony,,
Club Club City View City,room,standard,private bathroom,,,not club,,no balcony,city view,
"Executive Suite Executive Suite, 2 Twin Beds and 1 Double Bed",suite,executive,private bathroom,,double,not club,,no balcony,,
Standard double or twin room double (Main Building),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Studio comfort room double,studio,comfort,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Tropical Tropical Deluxe Garden King Bed,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
Twin/Double room - Balcony All Inclusive,room,standard,private bathroom,double/double-or-twin,double,not club,,balcony,,
Villa OCEAN POOL VILLA,villa,,private bathroom,,,not club,,no balcony,,
Panorama Sea View Room,room,standard,private bathroom,,,not club,,no balcony,sea view,
Triple deluxe Room,room,deluxe,private bathroom,,triple,not club,,no balcony,,
Grand Premier Suite,suite,premier,private bathroom,,,not club,,no balcony,,
Deluxe DELUXE ROOM.,room,deluxe,private bathroom,,,not club,,no balcony,,
"Deluxe Penthouse (1 Queen Bed, 2 Twin Beds and 1 Twin Sofa Bed)",room,deluxe,private bathroom,,double,not club,,no balcony,,penthouse floor
Accessible Rotunda Suite,suite,,private bathroom,,,not club,,no balcony,,
"Metro View Room, 1 Queen Bed",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Classic One-Bedroom with Soluna Beach Club access,room,classic,private bathroom,,,club,1 bedroom,no balcony,,
"Junior Suite Junior Suite, 1 King Bed",junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Single Mansard One single bed Mansard room,room,standard,private bathroom,single bed,single,not club,,no balcony,,attic floor
le royal club room double Breakfast,room,royal,private bathroom,double/double-or-twin,double,club,,no balcony,,
Superior Triple Room (3 Twin Beds),room,superior,private bathroom,,triple,not club,,no balcony,,
"Apartment, 1 bedroom, pet friendly (2 Twin Beds and 1 Double Sofa Bed)",apartment,,private bathroom,twin/twin-or-double,double,not club,1 bedroom,no balcony,,
Executive Club Room Marina View Double Breakfast,room,executive,private bathroom,double/double-or-twin,double,club,,no balcony,,
Standard double or twin room double (Main Building),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Twin capacity 1,room,economy,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Junior Suite Junior Suite room,junior-suite,,private bathroom,,,not club,,no balcony,,
"Deluxe Deluxe King Room, 1 King Bed",room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
superior room non ref,room,superior,private bathroom,,,not club,,no balcony,,
Suite - Superior - Double bed Suite - Superior - Double bed,suite,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Premium Apartment, 1 Bedroom, Balcony, Sea View, High Floor (2 Adults) (2 Twin Beds and 1 Double Sofa Bed)",apartment,premium,private bathroom,twin/twin-or-double,double,not club,1 bedroom,balcony,,
Superior Triple Room (3 Twin Beds),room,superior,private bathroom,,triple,not club,,no balcony,,
Go Large Room,room,standard,private bathroom,,,not club,,no balcony,,
Double connect to bedroom,room,standard,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
"Supreme Room, Lateral sea view, Terrace (2 Twin Beds)",room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Duplex Suite PANWA DUPLEX LAGOON SUITE,suite,,private bathroom,,,not club,,no balcony,,
"Guest room, 2 Single, City view",room,standard,private bathroom,,single,not club,,no balcony,,
Twin/Double room All Inclusive,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Classic One-Bedroom with Soluna Beach Club access,room,classic,private bathroom,,,club,1 bedroom,no balcony,,
Club Club City View City,room,standard,private bathroom,,,not club,,no balcony,,
Economy superior room with 1 double bed double  in block,room,economy,shared bathroom,double/double-or-twin,double,not club,,no balcony,,
guest room guest room rooms double,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Vineyard Suite 1 King Patio, 500 Sf, 46 Sm, Jacuzzi Tub, Fireplace, Sofabed, Garden Views Vineyard Suite 1 King Patio, 500 Sf, 46 Sm, Jacuzzi Tub, Fireplace, Sofabed, Garden Views,Room Only (1 Double)",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Triple Standard,room,standard,private bathroom,,triple,not club,,no balcony,,
Suite premium room with 1 double bed (attended) double,suite,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Classic Double or Twin Room (2 Twin Beds) - Package Rate,room,classic,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard economy room with 1 double bed double,room,economy,private bathroom,double/double-or-twin,double,not club,,no balcony,,
pool suite pool villa,suite,,private bathroom,,,not club,,no balcony,,
Tourist Double bed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Suite FARMSTAY SUITE,suite,,private bathroom,,,not club,,no balcony,,
Economy superior room with 1 double bed double  in block,room,economy,shared bathroom,double/double-or-twin,double,not club,,no balcony,,
Guest Room with King Bed Room Only,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Double Interconnecting Side Sea View (3+2) (1 Double Bed and 2 Twin Beds),room,standard,private bathroom,,double,not club,,no balcony,partial-sea view,
4 BEDROOM SUITE -  SUPERIOR Breakfast,suite,,private bathroom,,,not club,4 bedrooms,no balcony,,
Superior Superior Room with One King Bed,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Family Triple Room Single bed,room,standard,private bathroom,single bed,triple,not club,,no balcony,,
Triple Room,room,standard,private bathroom,,triple,not club,,no balcony,,
princess suite royal harbour view double,suite,royal,private bathroom,double/double-or-twin,double,not club,,no balcony,harbour view,
Deluxe Deluxe Jacuzzi,room,deluxe,private bathroom,,,not club,,no balcony,,
One Bedroom Suite Fountain View Double Breakfast,suite,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,water view,
Club Club City View City,room,standard,private bathroom,,,not club,,no balcony,city view,
Studio junior suite room with 1 double bed,junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Kremlin Suite double,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Premium Premium King room with Marina View Marina,room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,harbour view,
Room CLUB SEA VIEW Breakfast,room,standard,private bathroom,,,not club,,no balcony,sea view,
Single Economy One single bed,room,economy,private bathroom,single bed,single,not club,,no balcony,,
Executive King Room With City View non-smoking,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
Two Bedroom Grand Suite with Sea or Marina View Non-Smoking non-smoking,suite,grand,private bathroom,,,not club,2 bedrooms,no balcony,harbour view,
Double room - Executive - Acropolis View Breakfast,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
High Floor Spacious Room with King Bed High Floor Spacious Room with King Bed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard Double bed Twin beds,room,economy,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Deluxe Sea View, Guest room, 1 King, Balcony Deluxe Room, 1 King Bed, Balcony, Sea View (1 Double)",room,deluxe,private bathroom,double/double-or-twin,double,not club,,balcony,sea view,
Twin capacity 1,room,economy,private bathroom,twin/twin-or-double,single,not club,,no balcony,,
Family Suite Family Pool Suite Garden View Garden,suite,,private bathroom,,,not club,,no balcony,garden view,
TRYP One-Bedroom Suite with Soluna Beach Club access,suite,,private bathroom,,,club,1 bedroom,no balcony,,
Sea Front View Room with Balcony - King Bed Breakfast,room,standard,private bathroom,double/double-or-twin,double,not club,,balcony,sea front,
Suite - Diplomatic Suite - Diplomatic,suite,,private bathroom,,,not club,,no balcony,,
Ocean View Pool Villa King,villa,,private bathroom,,,not club,,no balcony,ocean view,
One Bedroom Apartment (1 Double or 1 Twin),apartment,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Comfort family room twin,room,comfort,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Studio comfort room double,studio,comfort,private bathroom,double/double-or-twin,double,not club,,no balcony,,
larger room large bed 2 twin beds,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Deluxe Triple,room,deluxe,private bathroom,,triple,not club,,no balcony,,
Executive Room With 2 Twin Beds Room Only,room,executive,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Spacious One Bedroom Apartment non-smoking,apartment,,private bathroom,,,not club,1 bedroom,no balcony,,
"Superior Room, Partial Sea View (2 Twin Beds)",room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,partial-sea view,
Grand Premier Suite,suite,premier,private bathroom,,,not club,,no balcony,,
"3 Brms, 1 Food & Bev MBR SUIT - 1 Queen Bed FM BATH - 1 Double Bed FB - 1 Double Bed",suite,,private bathroom,multiple,double,not club,,no balcony,,
"Apartment, 1 bedroom, pet friendly (2 Twin Beds and 1 Double Sofa Bed)",apartment,,private bathroom,twin/twin-or-double,double,not club,1 bedroom,no balcony,,
Junior Suite Junior Suite room,junior-suite,,private bathroom,,,not club,,no balcony,,
Standard Standard Twin Room with French Balcony City View NRF City,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,city view,
Premier Quadruple Room (2 Double Beds),room,premier,private bathroom,,quadruple,not club,,no balcony,,
Tourist Double bed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Triple Room Single bed(1 Amount) Double(1 Amount),room,deluxe,private bathroom,multiple,single,not club,,no balcony,,
Double Interconnecting Side Sea View (3+2) (1 Double Bed and 2 TWIN BEDS),room,standard,private bathroom,,double,not club,,no balcony,partial-sea view,
Executive King,room,executive,private bathroom,,,not club,,no balcony,,
Superior double standard rate RO,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Large Twin Room Twin Large Room (1 Twin),room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
One Bedroom Apartment Apartment 1 bedroom,apartment,,private bathroom,,,not club,1 bedroom,no balcony,,
Economy superior room with 1 double bed double  in block,room,economy,shared bathroom,double/double-or-twin,double,not club,,no balcony,,
Sea Front View Room with Balcony - Queen Bed Half Board,room,standard,private bathroom,double/double-or-twin,double,not club,,balcony,sea front,
Studio junior suite room with 1 double bed,junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
KING EXECUTIVE STUDIO Room Only,studio,executive,private bathroom,,,not club,,no balcony,,
Triple Triple Room,room,standard,private bathroom,,triple,not club,,no balcony,,
High Floor Spacious Room with King Bed High Floor Spacious Room with King Bed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Club Club Room,room,standard,private bathroom,,,club,,no balcony,,
"Hilton, Basic Twin Room (2 Twin Beds)",room,economy,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Suite premium rooms,suite,premium,private bathroom,,,not club,,no balcony,,
Deluxe DELUXE POOL VIEW Pool,room,deluxe,private bathroom,,,not club,,no balcony,pool view,
Two Bedroom Villa Two Bedrooms Sunset Villa,villa,,private bathroom,,,not club,2 bedrooms,no balcony,sunset view,
Roof Garden Suit,suite,,private bathroom,,,not club,,no balcony,garden view,
2 Twin Marina View Lounge Access,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,harbour view,
Deluxe Double Room Single bed,room,deluxe,private bathroom,double/double-or-twin,single,not club,,no balcony,,
Standard Twin standard,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Superior double Standard rate RO,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Comfort room with 1 double bed (without window, attic) double  in block",room,comfort,shared bathroom,double/double-or-twin,double,not club,,no balcony,,attic floor
Twin capacity 1,room,economy,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Double Connecting Garden View (2+2) (1 Double Bed and 2 Twin Beds),room,standard,private bathroom,,double,not club,,no balcony,garden view,
Executive King,room,executive,private bathroom,,,not club,,no balcony,,
Junior Suite Junior Suite room,junior-suite,,private bathroom,,,not club,,no balcony,,
Suite - Bomonti Suite - Bomonti,suite,,private bathroom,,,not club,,no balcony,,
Single Fairmont Heritage Room,room,standard,private bathroom,,single,not club,,no balcony,,
Family Family Connecting Room,room,standard,private bathroom,,,not club,,no balcony,,
Premium Quadruple Room (2 Double Beds),room,premium,private bathroom,,quadruple,not club,,no balcony,,
JUMEIRAH SEA VIEW SUITE WITH BEACH VW KING BED FLOORS 1 4 TWO PRIVATED FURNISHED Room Only,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Room CLUB SEA VIEW Breakfast,room,standard,private bathroom,,,not club,,no balcony,sea view,
Studio deluxe,studio,deluxe,private bathroom,,,not club,,no balcony,,
Standard Double or Twin Room,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Triple Studio Land View (3 Twin Beds),studio,,private bathroom,,triple,not club,,no balcony,land view,
Classic One-Bedroom with Soluna Beach Club access,room,classic,private bathroom,,,club,1 bedroom,no balcony,,
Two Bedroom Premier Apartmen,room,premier,private bathroom,,,not club,2 bedrooms,no balcony,,
One Bedroom Families Suite Family Ocean Front Wing Common Area,suite,,private bathroom,,,not club,1 bedroom,no balcony,ocean front,
"Deluxe Room, Lanai, Sea View",room,deluxe,private bathroom,,,not club,,no balcony,sea view,
Queen Room with Balcony Queen Room with Balcony,room,standard,private bathroom,double/double-or-twin,double,not club,,balcony,,
Standard Double or Twin Room,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Grand Deluxe GRAND DELUXE SUIT,suite,deluxe,private bathroom,,,not club,,no balcony,,
Kremlin Suite double,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe DELUXE POOL VIEW Pool,room,deluxe,private bathroom,,,not club,,no balcony,pool view,
1 King Bed Premium Hearing Accessible Double room King bed - Premium - Hearing Accessible (1 Double),room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Premier Room Twin City View (2 Twin Beds),room,premier,private bathroom,twin/twin-or-double,double,not club,,no balcony,city view,
"Standard Room, 1 Queen Bed (1 Queen Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Studio deluxe Studio Deluxe,studio,deluxe,private bathroom,,,not club,,no balcony,,
Club Club City View City,room,standard,private bathroom,,,not club,,no balcony,city view,
Suite FARMSTAY SUITE,suite,,private bathroom,,,not club,,no balcony,,
Family Interconnecting Room Family Interconnecting Room Room Only (1 Double 1 Twin),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Junior Suite, Ocean View (Premium Level) (1 King Bed)",junior-suite,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,ocean view,
Superior double Standard rate RO,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Executive Balcony Executive Balcony,room,executive,private bathroom,,,not club,,balcony,,
Double room Breakfast,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Family with shared bathroom (Shared facilities) (Number three) shared bathroom Double bed Bunk bed,room,standard,shared bathroom,bunk bed,double,not club,,no balcony,,
Taj Club Room Twin Bed,room,standard,private bathroom,twin/twin-or-double,double,club,,no balcony,,
"Vineyard Suite 1 King Patio, 500 Sf, 46 Sm, Jacuzzi Tub, Fireplace, Sofabed, Garden Views Vineyard Suite 1 King Patio, 500 Sf, 46 Sm, Jacuzzi Tub, Fireplace, Sofabed, Garden Views,Room Only (1 Double)",suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,garden view,
"Deluxe Sea View, Guest room, 1 King, Balcony Deluxe Room, 1 King Bed, Balcony, Sea View (1 Double)",room,deluxe,private bathroom,double/double-or-twin,double,not club,,balcony,sea view,
Presidential Suite : Bed and Breakfast for 2,suite,presidential,private bathroom,,,not club,,no balcony,,
Comfort family room twin,room,comfort,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
